0	180190.72	0	15352.42	0	0	1190	0	0	71869.29	837231.18	11705.6	325982	0	0	22373444.11	0	21539244.9	91548	0	0	0	0	0	0	0	0	28748	0	0	2259599.09	0	0	0	49652.47	1462.14	0	0	8631.69	32295.12	0	1432427.15	0	0	0	2053342	1024	479404.54	0	0	0	0	907448.19	0	0	0	168957.19	0	0	393473	4370	19533	0	0	65724.49	0	427272	0	0	187399.98	104592.22	30439	1316653	0	0	0	5190	0	0	0	0	21486.45	0	0	102310.51	0	7875	0	0	0	0	0	0	0	0	38124	0	0	71880.64	1152.81	243621.43	0	0	0	0	2922.93	0	0	0	0	68111	143036.24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14264.18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5660609.73	0	1395388.69	3490529.21	1152897.65	353537807.01	35019295.72	7883393.91	24140972.56	1616448837.11	16109889237.53	52315	428905244.6	2375405	9501216.65	1190094923.28	304070986.93	2195569390.97	2249703601.2	263703115.9	44591.56	3893811.79	92207.74	279964958.8	1096586.26	700886	311092762.04	118735134.89	12758856.97	104678253.09	4478453573.49	1592375.08	6568	429309075.97	29289816.77	64448.31	51993085.09	2143872.88	148328414.93	91901082.27	1412538.22	1516978402.38	356367502.72	57965707.64	3156701.3	27451766.35	44281253.67	198768898.67	4772785.83	5958201.23	2255924.05	793711969.210001	128036067.89	8757356.53	453373866.85	6210594.87	2290107667.65	18094.23	46041877.21	175620228.36	137109018.48	248798204.87	7616403.61	1842965.92	7295954.87	124590740.3	377310631.97	1410481.24	424101386.51	2391325166.26	57484100.8	4390609.89	42203551.79	125685620.57	29411483.35	8002631.63	12497384.76	5700344.4	621369.33	618722505.52	2253298195.19	112277507.69	340723594.96	20412589.23	843794339.92	23877238.78	21730752.37	57294376.71	6440602.82	15476428.64	55494629.8	22010557.88	930438270.980001	1098213.65	296243679.17	773513300.45	479470.35	162325410.67	618499547.61	683906467.14	2727055.44	234567480.59	401396	7286819.32	659992.83	669653.4	10036311.19	1156921	163437.67	974581.87	38492854.24	1841834.77	2705201.18	9603391.94	7359380	98015133	80088369	9550837	3325372.11	15386138	11330002	2182048.8	164985058	1661737	24938389	0	197814520.52	158459	61806	14109604.13	42537351	142634	343723	5984040	397821	7602129	8081210	1031150.85	3816913	466766	889415.35	22048804	384577.79	63857	301599.76	2553148.74	214424.55	1264892	7343959	9060456	214771	292983	356010	1720363	365367	411933	67958	0	246699.38	1302362	28253382	37822971	204197	437996	67480825	6448445	4836	276411	3264233	0	151488	8904593	578902	641385	1307925	19362367	6115494	7741653	1885	2086622	1926374	0	0	19099	0	811653	0	0	2705	125424	0	25658	522591	0	0	43037	0	0	60166	0	510218	301099	0	0	0	0	0	94601	0	0	0
58246.86	3978.98	0	7583.27	213482.37	31426.18	135095	10967	13946.76	248888.34	16270771.1	68968.36	41780126.57	122699	55446	61168918.06	203663.66	40874272.75	90458702.35	11343411.95	8589	227255.99	6514.86	344935	84794.5	109413	283989.98	333272.16	62457.93	0	538829.56	2679537.71	11554	81930.5	15312.28	55545.8	9313253.72	0	7469793.21	226228.39	1594245.46	371941.42	103067345.13	678743.74	668444.93	262726.77	77305.3	28097.83	19342.28	0	605491.22	98636.03	229154.48	233062.05	1358006.37	128317	219565032.28	2179572.03	421463.67	1103227	1383521.71	583662.63	0	0	142210.87	5280.48	7992152.1	0	6090323.59	2456869.12	196860	0	0	0	465752.12	47214.18	292443.63	0	0	25576.9	5000	3116	0	0	6646922.27	982150.96	0	0	0	0	0	1025.29	3670473.7	20064	1027171.79	1779589.04	0	102420.75	55314.69	0	0	538996.51	0	0	0	311612.47	0	0	0	0	0	0	34932.66	1037344	294571	0	0	0	2966319.56	0	0	3007	0	0	0	0	4896644.82	178668	0	0	0	166668	0	0	0	0	0	0	0	0	30976.28	0	0	0	40043.25	0	3881.3	0	0	0	0	0	0	0	0	0	0	0	21922.12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	72456	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	305527	0	0	0	0	0	63151	0	0	0
0	6578746.19	0	0	0	1236222.9	85712969.32	164252.53	18876.71	891798.68	85140107.66	0	216075.82	1318604	3176746.9	13184610.58	109685.35	46764326.28	121690349.97	201192.43	0	113022.07	0	67266	64510.01	0	145847.59	146702.59	27087.01	217119	26135854.84	509240.1	0	778271.24	260364.83	18256	0	0	12024402.32	1780974.48	2155557.01	28522515.68	443237.03	538563.1	157731.36	139469925.39	0	347769.45	142386.5	0	2826.03	362815.2	131013.03	90664.62	24802.12	3321323.06	184749166.55	0	1421930.6	270553.94	119011064.28	1778896.22	0	0	0	0	37643756.74	0	8838931.21	113428979.83	62443298.5	39280.93	0	1306221.24	0	58267.63	0	0	0	14204.13	61362.8	0	18634.62	0	10393932.65	0	12588.48	0	0	59068.65	0	0	864727.67	6455.99	334826.19	722034.5	0	0	102083.92	50336.55	1449.61	30462.84	0	0	156708.69	0	0	0	0	0	0	0	0	0	0	0	0	0	2323.6	0	82750	1520567.46	111960	0	0	0	12000	0	0	7500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	268843.42	2079503.47	35742	0	10080	338474.71	21182.89	27749	20699	20449744.9	5829091.46	1009100.7	145796	2020.09	492808.91	124756.27	2839315.53	52685073.95	2470.67	5079094.88	191204.7	8074799	95004.23	63767.59	376431	24451.78	80971	1820.6	0	455934.62	14499933.47	3811971.97	354466.34	0	11866609.42	0	0	396421.4	49386.41	8014	2407236.48	7997069.55	294740.74	1290309.14	0	138444.83	0	22000	7000	1641274.78	263470.55	30758.6	15910218.06	115965.27	0	40959890.08	7008546.31	14325675.28	196498.54	559337.61	403156.71	0	0	3022.83	122672.24	301565.91	0	7686992.17	772790.6	67694	0	199000	21935.85	50069.44	0	32877	1119	0	0	11000	27648.42	0	0	1169597.7	0	0	1605519	0	4000	135537.81	0	0	0	26000	344751.3	0	452082	204158.56	14374.19	0	12000	0	0	0	21606	0	1239	0	0	42492	2203.11	0	0	926899	0	0	0	0	0	0	0	0	18817	0	0	12000	888593	0	0	0	247638.78	0	0	0	0	0	0	0	4454450	0	0	2072937.44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21933	0	0	0	0	0	0	0	0	0	0	0	608489	81231	0	3977	0	0	0	255868	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1044209	0	0	0	484134	7649	17517	0	0	0
11310045.77	817215762.03	7244036.97	9550127.12	9086609.93	0	163970817.59	47319192.7	68390562.67	361708156.63	11336005600.51	35955593.79	894463450.38	39016653	49630706.73	2724669316.27	538704586.29	6001053624.82001	4004574441.92	475330810.19	1154836.39	51782594.4	14141878.31	58534813964.51	35900229.22	7140080	1642890964.11	404168421.43	27450577.87	199940603.68	4115926236.21	46715573.64	246986.86	9614136397.79	231891776.29	3769962.59	13973394.65	537771849.85	1151737438.96	1996918723.27	15766932.09	3280672823	772585952.87	665649339.33	662302890.38	216280342.96	1136668699.03	242988652.67	145126258.21	33539520.41	32866896.64	541145464.85	1983822958.55	35874648.16	776768748.08	68589424.0299999	52649857749.37	8159007.21	111583345.06	718135141.279999	971421203.22	3243875214.31	7788494.54	6914503.12	469709079.29	48114917.58	1313388064.03	33418073.14	4110749522.4	1129310639.04	665097274.37	28707010.92	152500626.05	442512758.74	25253759.82	70166572.27	79066723.87	31326030.96	39860190.44	66118937.44	299062080.42	1103164258.53	543315222.36	123046531.44	37717158318.77	7475800.83	200753169.09	5967295.5	25653052.36	34191003.58	295612535.33	58915914.8	914253240.59	20124049.59	129238511.82	1478134268.47	3911524.02	5049561209.6	107923103.65	82945693	51186018.29	150153779.13	2829461.64	68869568.38	1268190.92	8532833.94	98788591.91	2205804	10168601.27	64070176.1	77869465.36	12608043.53	2438434.47	1762086.36	12303079	1272064287	202919	341002	100159765.97	577224486	531954117	82743562	846539294	3213228	144630146	16962	60691064.02	2570495	25378658	5868666.17	16570515	1243818.59	27465257	153827450	1960243	72834181	193128730	37836328.65	55798434	5573754	10473249.19	1047350050	2429425.3	304901.79	737924.08	57420864.5	2993547.54	28985683	105846277	21556898	167236	1157835.2	11532644	13081416	3083246	19819022	720541	3178243	2224775.64	58939420	92187833	92915208	21602224	10426131	79389135	401215405	0	15884202	11210864	0	24864143	14852684	477408	1007759	11012984	60383543	99867168	25407376	0	59244104	9761788	0	0	141210	0	461109	36816	0	451736	0	2824156.71	508966	2222838	85973	0	21411	173129	1044414	107912	560606	0	23759	1139792	0	1222938	82460	0	84426	0	0	0
188018.27	21154444.03	9999570.27	45804670.02	2351406.64	13058268.58	0	93333530.41	224634.15	27311065.87	759149803.56	281073.8	130320098.4	64215086	509666893.97	159392952.32	109648733.04	234187521.63	257297750.23	12577684.78	371062.87	47197258.26	1967819.54	7953880.78	23049755.04	25419523	2508317.9	77183956.08	613335.37	132359286.87	245207115	13275407.76	65562.06	52307315.33	668164.92	2841684.43	407783.85	26224.61	119066721.51	5446994.54	18849931.47	422995126.65	47507174.07	3531067.86	141582184.87	565985253.99	2778632.67	72653960.58	47878.85	373290.74	49070465.62	97210364.6	6070419.48	8401952.91	6928121.28	6553645.07	4399213368.86	165255.53	969031713.640001	3596509.85	90395644.66	15124684.6	133113	28459.45	1682.3	10587987.79	143066620.09	2415	164690474.16	84192884.41	201248982.49	997254.35	66463	9467896.58	3443251.1	9870	596139.07	223881.43	3405	3285562.57	2103290.82	6342728.86	0	2121730.38	326570514	94943.23	10780778.66	3225870.5	74483.47	795512.99	839520.41	0	68573555.36	122776.75	14830899.96	65949621.87	28142.74	6597531.79	12032500.13	6053987.09	4149500.95	5814747.66	0	208363.34	113014.26	120426.19	4000424.42	0	2427.73	10195.18	176104.06	233352	2773	0	86701548	486108	0	116994	75371	25500	180048	4396825.41	5047737	0	407891	0	8479360.71	49905216	0	25233	0	168612	0	19250235	86503	0	16216430	16791.43	0	4370415	17287	3850	2213599.13	1654.58	0	0	51130.68	0	18139	0	63026	37071	42299	0	0	0	94459	0	2526559.55	4090	0	317647	0	4714740	0	79294	0	0	18500	0	0	0	0	0	0	17484	2790	106465	2949	0	0	0	0	0	0	122844	0	0	0	0	0	0	0	0	225583	0	0	0	0	0	35134	265367	0	0	0	262600	0	70972	0	0	0
102890.05	31623592.06	1037133.76	1570376.59	1213890.05	13399337.21	27460732.74	0	250539.55	11422053.83	234878838.39	2310106.54	7980673.09	19725465	9745165.08	85408048.92	60638976.16	73666961.09	136591413.58	2098204.77	13619	114946137.45	458390	40953752.82	66449934.79	5391139	3896605.13	6955673.89	1801954.95	2983595.93	96654422.77	17995550.55	67706.11	14775411.24	824701.74	225841.89	172863.61	17214.32	84119574.07	317864.93	120259633.47	128711648.4	22069674.36	469583.5	117195722.25	15218296.23	1024786.72	26027936.61	317084.72	0	113529302.75	34364102.91	4093261.89	4525537.66	3231010.14	1808362.28	2296796479.42	333005.69	18406796.53	2434300.07	9610718.38	5553468.41	346211.56	0	311647.65	114214.56	3440050.72	0	127855208.58	42713983.84	7826839.41	2296458.27	175938	263654.7	596649.1	45998	0	12980.46	10882.54	842219.62	1548142.68	795458.9	0	430327.72	43384730.22	32109.5	8213233.13	62080.93	13113.75	1760825.78	87883.19	117777.14	19056742.83	11954.19	645191.71	17258850.14	68862.56	6431988.23	4947288.13	916729.27	67496.21	3263150.61	0	95508.15	51800.91	4776.1	1215560	0	1065.68	0	2173852.31	46944.8	0	28000	2425969	339295	0	0	1800	20774	3684860	394539.22	27427	0	288913	0	5347079.18	7479641	0	9943.02	0	452822	0	2004490	0	95000	2156039	2535	216000	900194	0	63648	8485432.75	0	0	18875	0	0	0	3000	0	0	0	0	0	0	0	0	122097.4	174600	0	239069	0	0	0	6048	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	365107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	111675	0	0	0	0	0	0	0	0	0	0
0	5470930.15	249365	42013.98	62041.27	1422739.75	44949.01	11565	0	4624698.57	60115587.35	0	3497172.65	4131	95669.94	8285519.48	3924378.76	22506119.36	199311233.52	68957591.1	19282.82	0	8333.48	8927034.43	0	31482	332297.99	8251491.12	361090.51	37285924.18	24265228.04	22854.94	29670	5401071.49	48370391.61	6474.37	5538859.09	120082.11	678116.07	2715919.35	0	18010719.7	2849732.3	52865.42	3907500.22	0	980233.64	901119.06	4422542.38	7996022	375948	5181862.85	2959110.03	56083.73	11036185.67	307399.36	18961674.97	0	18430	2716781.57	960971.08	1609527.87	271250.42	33458	413323.5	9450005.04	9520594.76	7812	875653.98	6249771.53	333617.85	15383.17	647415.16	37421471.16	1266983.62	392096	822324.6	947399.57	747641.3	3743188.65	4519044.48	1324299.74	6667591.56	13888211.21	6017808.2	357940.61	1725423.95	6525218.76	16724.72	2878168.14	3275886.48	7502493.87	3757293.25	0	15720123.47	288049807.66	19985	4739872.27	3921262.87	1501898.9	1402591.24	19646144.83	13521.22	1125879.03	71169	3301.53	1155757.9	99173	814835.23	0	3902804.95	356992.81	2961189.57	926504.6	0	65469379	100089	33540	337886.06	708047	5200	13183	17848269	0	16394516	0	78870570.98	9135	0	4276470.26	260652	1594	168134	4785	2193	0	2099839	25050	5118	5333	203916.77	757543	0	0	85717	345944	38420.75	109898	19281	1288249	0	86126	0	1442725	187974	28600	16204	0	0	1078487	1933580	6092357	0	0	13337440	1099401	0	57531	31374	0	10822	0	0	0	464071	55238	3366855	252411	0	0	0	0	0	1564	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6837	0	0	0	0	0	0
244794.15	1408687470.56	838006.89	1196688.09	990653.85	53567258.86	21433405.09	4320057.4	11296599.18	0	7970433006.07	18094	137525819.14	7190128	5111832.44	207802496.89	107127558.41	719442144.16	643263414.08	102111863.57	48433.19	2228181.63	344298.1	65819432.97	1040338.12	287859	21457063.13	53980959.65	9015909.46	28995248.55	837811201.430001	1379536.56	13647.8	67470774.43	55531519.03	83019.84	110130164.77	316879.21	43571828.3	8803334.28	150385.35	541504336.089999	103590084.45	4367330.95	2757118	9143531.77000001	10553381.56	45791498.33	2080499.16	2941885.53	2245856.88	237503901.04	51717122.75	1742124	105056985.9	6717381.65	610942242.76	20487.93	11207663.02	23918907.07	27534448.13	36981699.43	10395354.27	668239.99	5060051.63	66393421.62	50908918.94	164992.66	78445948.82	238100592.96	8987722.33	2405631.36	15168216.85	100917130.49	20620871.13	5069232.24	4647935.75	1973993.05	129916.38	203742784.57	466874794.58	71053489.04	51390476.17	11854597.33	116351761.1	28154140.36	7551772.04	17062035.84	1549028.65	5838345.86	9868259.39	3095969.69	1330229666.87	87015.1	103074073.77	738274429.039999	502522.51	76301426.12	2621010475.55	227135006.18	992706.07	255275664.71	582686.81	2300555.91	191721	341037.06	5132429.92	0	214265.66	819933.24	13008686.12	334941.64	2039322.05	5803137.14	169034	144762861	38963698	12050996	216596.57	8484195	208152	2599797.67	24016347	829258	44001407	0	92587293.3199999	15484	648325	2842298.79	64264407	14616.91	662886	6473332	154153	89164	4428535	389218.8	828267	801967	1339924.01	11768224	411917	3082	0	8808105.89	34209	72213	1356182	760669	0	27952	323485	141913	151179	698760	0	0	170835.99	21265	31580242	5943602	469487	191344	2785739	2349951	0	35664	136220	0	59337	1130679	194987	282318	1100855	37889347	5573777	1405836	0	1378817	653453	0	0	0	0	75103	78420	0	0	0	0	23481	19652	0	0	0	0	0	0	0	56560	3593820	0	0	0	0	0	11518	0	7866	0
