0	10010298.4	34364184.85	22117854.14	0	566098239.69	319115366.83	1612920212.97	9654572.28	4778750097.82	26739022.98	20813975.4	0	49155701.56	711540061.21	199904747.84	0	9362771.96	377522294.03	0	89046155.26	0	1384318721.46	1225263975.38	99549936.8	0	0	1610148237.87	80960544.22	32402026.12	48324997.65	716854258.57	0	0	17989238587	370603978.37	456800741.86	0	55685340.95	0	1068696678.98	151137028.79	525377581.44	3730875022.2	0	32909179	106690506.97	73099620.44	0	63514554.7	269561434.11	2264166877.92	621186503.39	0	0	0	75672569.92	10489182391.25	0	729480319.33	981380648.92	511155331.31	0	1292131818.18	1168193617.34	116206738.28	25140832.81	1821484321.2	147310163.92	0	0	110946943.61	176519341.48	968856826.38	663124715.710001	0	355674360.36	44821006103.76	1597869064.2	19218319.86	28971527.88	0	24458035.39	0	100969680.42	5673849439.05	0	363578091.09	147826888.05	70018838.85	0	127380921.33	20158678.43	105052617.52	0	28246155.1	142337098.11	0	0	47102038.37	0	708959445	303936661	0	0	77990319	0	101268726	1723247954	0	0	0	0	0	103170823	0	114455574	0	272998957	34778829	29288952	71374750	102208877	49135440	21881623	15069520	0	0	0	175019499	15158792875	6615665626	3003343734	288863458	0	1063734079	0	17374523	629601315	174084648	0	16937638	8340140	64062924	71508308	210119225	12184005	334331926	97501703	1409247665	47194168	0	0	0	3049031896	133998909	19435056	0	193924607	0	23974207	22380891	24791029	116297184	0	352033447	33565584	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
394951533.23	0	80547057.9600001	38271142.32	613872186.23	13268822035.98	502535400.05	799548820.77	4150000619.31	6390150661.15	40504034.22	848240703.109999	133343384.78	74008574.82	1771056721.66	504597261.04	186855096.53	480548070.19	2829346058.46	8438947.23	57150193.85	0	996562907.9	925727469.37	119853178.85	111679380.33	0	222474413.09	25513005.01	185279700.26	222995552.02	1710765105.53	18457752.47	0	599942633.79	44755888.82	9298078.38	35296503.51	1345393248.4	10170064.13	2820590393.72	74293740.23	46774465.23	260824556.27	100097750.34	1365660733.91	504509693.13	339978893.03	1090868862.41	99838209.02	989676062.58	474692888.5	0	49606443.26	14110704.93	61396439.44	55276718.81	407358777.44	41875597.15	691685033.14	38038283.85	0	1601201726.75	5600718450.30999	1029812488.31	0	0	307177144.29	13514795.94	15772347.29	94499618.78	28631217.21	901975555.08	1144471522.9	0	53458583.75	32160704.93	539409881.43	93969005.77	0	30657818.96	0	36315355.32	0	84190820.16	85294175.09	28871410.21	256757392.08	356408164.52	0	0	56999629.05	0	9689767.76	21921669.17	0	347097037.83	0	0	0	0	0	212897019	0	0	0	0	204617238	0	23174111	0	0	0	0	15593117	45486836	52027050	84398639	0	0	13673155	0	38206711	0	0	0	0	27500262	16050924	405699748	829695654	1081966551	20391809	32007190	0	30206334	0	0	192436631	491212221	0	0	0	55358857	0	461797603	13521746	190884739	0	57378697	561336619	0	0	0	16140062	8450208	0	0	0	9721957	0	0	0	0	0	120239366	0	1419612869	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
841214575.44	197696414.09	0	911958781.18	13488917.88	1020014816.23	1453731486.5	7187067072.42	195355887.66	2892020289.94	17170575.19	148522140.91	28410649.2	5506590666.09	44057416558.53	1271921220.85	18389229.22	27622570.36	4027978195.8	195531153.4	863087087.42	0	6149291202.75	4647718697.84	1156793193.14	19222583.98	0	468765415.74	5949642978.18	365222491.69	434439831.74	12129955325.02	29395999.1	0	1037362406.8	77662344.83	94466482.69	273548781.08	713071991.34	132305802.06	2800896555.13	873695069.39	155736080.91	130516736.26	36089769.84	109592964.45	3938341582.24999	562187415.89	11398323.44	3684994599.77	3921586754.38	1021391400.86	46111332.96	10207028.55	2791497685.67	2916158831.11	1805838560.5	326536485.91	30488564.66	1541951183.94	23924757.81	0	17663606.33	8162695410.6	708671759.540001	0	0	1016720245.76	110521667.28	463683346.02	232447381.37	80707558.88	328854711.62	308321451.31	42228867.52	1588000926.81	86182082.28	1566876694.09	21158267.56	12250977.32	282852519.34	111075970.42	16125379.28	9159958.16	15063299.37	735345030.3	733632742.89	91692925.14	111916179.3	272208311.36	14235678.26	0	71195508.17	0	8197216.65	0	139985929.24	0	40027067.64	50682805.21	0	0	28924113	79654046	0	0	0	106358102	60212013	22623796	0	0	0	0	11374902	0	0	0	0	0	20189638	64029060	12055300	20576493	0	0	0	0	0	285961258	808658898	427344715	63551835	352967964	0	145067274	0	0	126023975	94498150	63058825	8543381	15906669	0	0	443443292	0	239864564	0	99923091	100465576	0	0	0	184361375	0	0	15145170	0	0	0	0	8087238	40559878	0	1253506770	85230417	128094873	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
263918907.26	39051742.69	496225057.86	0	0	92596586.54	99299100.45	134275078.92	0	222194892.84	0	8305661.54	0	201695145.71	2062914620.36	64140606.95	0	0	497417159.29	9360396.43	53015134.17	0	940570491.060001	490335133.5	1669282883.49	0	0	32641221.97	199597222.73	23889391.76	72171322.67	1719185182.63	0	0	65533611.55	167163361.05	8552060.89	25382919.61	28413009.26	398932037.02	341623946.5	94457067.98	0	210230708.14	8252558.93	23566098.12	442579351.08	35438231.14	0	1440977927.51	728144795.440001	187123479.75	26635322.47	0	150934581.11	205201976.42	114939313.76	41620108.5	22479148.9	1937359327.59	15265007.97	0	0	405823239.45	74979389.8699999	0	0	36107499.48	30484094.78	76683233.05	55586757.08	139245479.46	102599733.33	80143737.72	84815201.55	210756450.51	10866601.26	55399458.01	0	0	40595854.51	15916495.01	0	0	0	274110091.54	857455655.23	270004436.18	120332401.21	87948662.8099999	0	18678082.67	13449830.52	0	0	0	18014690.63	0	0	0	0	11263965	0	98717369	0	0	0	0	0	13422280	0	0	0	0	0	0	0	10934337	47778698	0	0	194629698	40845134	0	0	0	0	0	0	20596650	78925027	68490327	13110169	30848269	0	0	0	0	21196527	25578945	50971156	0	0	0	0	14098127	0	122373203	0	0	10452385	0	0	0	0	0	0	0	0	0	0	0	0	0	0	260785444	11331929	0	179772813	0	0	28904292	0	0	0	0	0	0	0	0	0	0	0
0	486864063.71	8429428.62	0	0	3017162745.06	96271658.73	162854638.77	77374776.77	137567563.83	0	210271401.11	0	0	111297688.09	0	0	20600242.77	49795678	0	0	0	40914288.9	94156697.17	0	0	0	0	0	0	0	48175743.58	0	0	802527670.68	0	0	0	38863080.47	0	72261397.62	0	0	0	25202116.58	271704729.54	0	0	55240987.13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	516331897.15	0	0	0	0	0	0	0	0	7997660.19	0	0	0	0	216414001.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21843405	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	268193601	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1565219501.87	17428812292.14	494139437.5	274721455.86	1121094955.16	0	2227613040.28	1286020173.68	4913733470.1	24170927752.37	88246329.13	2350975714.99	666147872.81	215432038.5	10144533685.67	353026967.23	426539614.59	899599185.19	4256844248.56	62523719.27	757539805.91	0	4641295821.76	4447810878.8	358669498.87	277546835.39	23971194.66	1839857564.58	118179098.18	475441989.87	386076154.11	5110852631.14	395103965.96	0	3344639582.01	282986783.64	22976862.05	28987333.04	4442956205.47	120036492.27	10241995251.93	1037195188.4	95045025.7899999	468814536.09	413406433.02	2335038976.16	577960186.22	1737780711.2	2460878995.28	488634585.32	4727121634.78	2967670618.54	58647389.38	298942316.37	145431635.04	312434935.87	717215945.7	1770036267.71	895110521.09	1062781851.69	24921947.68	0	1586201846.25	28137537263.05	1759598915.15	18732781.14	11307778.27	1313369970.82	114359392.76	149728258.35	126094138.48	186589404.06	666818642.55	1521369169.28	50209122.91	231436688.04	312519961.58	6305871933.2	102505901.56	0	71481884.96	75205507.31	14886022.06	9522326.55	187271303.73	2194886865.29	85633396.5099999	297695488.9	243984865.03	40832831.6	17951738.26	29701203.45	19913104.09	0	82916311.45	44245369.49	379644966.48	0	18648481.81	16479904.82	45240737	0	1973387465	50827942	0	130540927	10164632	237063040	405412128	34627561	0	0	17762752	0	133353516	53413880	68385373	526460831	0	0	55217374	137570272	344024315	65246836	48478196	41703196	0	134921595	49439455	1142897201	1101923415	1133220186	106599728	45462181	0	632144564	0	16116459	372890931	510850620	91559637	0	0	32312781	79419720	877112630	0	1532730626	0	133657571	583980955	0	204551363	18103531.26	294302683	0	19498246	0	9128151	46681805	0	0	21407605	12276256	0	463637629	0	5147116521	0	8399059	0	0	0	0	0	0	0	0	0	0	0	0	0
1398590790.21	317589530.89	630687497.92	74973618.45	65982245.42	2937645140.02	0	1483660739.2	929975711.949998	9986560562.19999	32989649.6	763685441.5	157965655.27	317741075.96	4796478437.26	555357498.380001	241385062.33	318416214.44	1618657732.56	31800976.75	986696559.74	0	3358344466.09	9610879911.35	428864655.88	213525083.81	23021955.04	1676133550.87	257839468.57	469262419.25	499579188.8	2501535862.92	205987460.27	0	3977660251.68	81271408.5	365422404.37	32899701.04	6742907089.42	16629784.11	3122306636.5	2444816834.69	509399858.970001	683932474.46	129660516.74	434824109.56	385544168.23	306783441.47	17347392.36	265956782.49	1473907831.95	1241787414.38	432376791	87154066.29	65822821.66	140491389.02	537375074.17	752014384.02	283771688.45	1261003274.57	74069328.44	26987295.83	201657643.79	321719218686.54	922253334.53	26970570.57	0	2015414105.55	20912489.37	10972012.65	32886239.58	18458735.57	874469992.319999	715937665.08	65193214.07	91691972.38	84012951.6800001	10953608830.4	80416298.57	20539336.55	54133312.26	9009099.15	0	22890372.97	39677921.42	791327399.78	29865598.93	72250709.2	94989747.54	27370420.68	49780198.91	18730833.94	16214368.03	0	37944690.38	24021541.44	338474609.48	12711946.2	62741804.93	15112965.48	0	14733128	120722405	31756130	0	12622292	9235212	212909654	45255300	208951397	0	55951813	36965448	0	19091719	18920970	25607301	627578682	0	0	24958785	19834710	155598756	15000080	0	11814258	0	76384310	43093319	1291412696	2109805734	584691747	171447209	229267900	0	142081319	0	9726818	74072343	282050813	9206035	0	0	9256177	0	673477476	0	98662534	0	106021457	450344572	10253128	12098982	0	78256032	0	8931152	0	0	8022627	0	0	0	12902428	0	161800530	15231422	748635292	563157208	0	0	0	0	0	0	0	0	0	0	15458733	0	0	0
4159399653.65	352776113.39	7569234863.56001	361223170.84	12508454.58	2374180211.89	2906988144.9	0	230143032.41	6010239516.88	43607033.15	371339514.11	126893887.19	1686617405.54	40751810804.22	1137030876.96	26524309.97	83902582.74	5511566455.89999	150531897.99	920931354.51	0	15730067679.23	13190479197.72	1367955414.66	36719981	0	6157669469.19	925119991.11	815293054.33	3554532773.02	14381455425.79	130078551.77	19867139.58	2059084450.91	709944010.080001	183058637.9	192068350.84	1334091370.94	80887178.9	5002471765.53999	1026301021.58	245298496.22	468692470.21	366977471.94	129505040.95	2291074031.47	732236870.479999	184058404.88	662788878.3	2949279055.96	2290885813.99	56992346.69	41274264.09	518330622.459999	443652012.53	1553446260.2	3954858627.25	29489305.59	5832615485.98	73420087.72	22442777.91	49215744.77	17451445645.46	798921833.28	35711700.75	17675819.22	1973056886.17	152153031.59	139980242.01	192183020.41	132700518.73	486130461.26	980576904.33	45105338.6	302331809.76	235249886.76	6428262310.99	80146804.02	14414004.53	132783555.15	29778436.17	53678536.67	11431441.78	34366815.14	2216981790.07	269052917.22	186541042.59	165748605.07	35311105.62	88715915.34	12998165.63	118477105.57	108434738	10518991.38	21375407.58	1908361791.95	0	183765868.44	45893675.84	13462022	0	30579898	34247582	0	31446265	0	70918643	197533510	77770027	8330774	53267022	16599912	0	14403479	0	0	18119061	0	0	0	30205192	34456009	0	0	0	10400601	14083129	0	338908310	2112907244	767234191	78286645	150660387	0	460729884	0	14262630	261823451	342763993	23834221	0	0	10247222	0	542765582	24997701	171104088	0	141690909	253925587	0	0	29839269.6	468509291	0	0	8844598	0	0	0	0	0	14667506	0	563775241	51788830	251170977	12780540	0	0	0	0	0	0	0	0	0	0	0	0	0	0
116658567.89	928539407.17	40732415.56	483974506.03	1335210929.19	4000438042.93	1521965291.99	267485305.83	0	8678788175.18	9516556.91	721692672.120001	229577726.96	57016939.75	2158980607.13	190194944.21	69056865.53	591413764.91	1792189420.52	13311054.57	293281231.36	0	2301851957.76	945298379.05	129088268.5	298704963.34	0	189083584.98	0	75286306.62	47750299.13	3170380934	22326789.47	0	3559016528.94	0	46450710.41	0	2405418612.79	0	3569499735.12	114472553.86	37785105.57	0	311602074.37	1498913468.84	238108415.1	54210689.01	203729194.42	0	357748465.22	157744981.63	0	148699278.45	9683218.67	40811824.16	446447354.53	190156968.56	21786807.78	281711679.73	0	0	115741769.83	8338929303.4	147229909.05	0	0	495653318.28	0	0	13010445.05	0	0	85234832.39	0	11088385.53	13359588.1	6695507727.60001	0	0	13489995.67	0	0	0	0	150643285.33	0	23336135.94	0	0	0	0	0	0	56874252.87	0	100652089.87	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	69815064	0	0	0	0	17641847	0	0	0	0	55464421	0	208576845	1342168054	10085602	0	0	0	9658398	0	0	0	8030592	0	0	0	0	0	155399953	0	32041659	0	12692211	249574059	0	8070220	0	0	0	0	0	0	0	0	0	0	0	0	31925270	0	1216546736	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
20085605414.11	7024992413.17	5947691353.34	1966462023.96	431006802.05	20134942056.05	34428371891.78	5059836089.07	8012467939.56	0	591371251.45	4424205751.75	866031406.13	10979562630.94	78239391826.24	6355786011	1062137129.13	1708585095.15	28195998521.9	948173466.68	6640836268.36	116250383.14	39384691381.44	49577951287.5	4741591996.24	955220600.65	89994309.9700001	163977115784.02	6931067126.96	5415178707.55	4301717894.46	33501933950	346755978.81	1144693173.69	71234493876.11	1377934671.22	1222803396.55	451798182.56	26958718611.14	312194487.59	37302376486.49	5429571920.26999	4369945043.48	5203224491.24	5723443644.85	3981604221.89	14850020018.28	2061839327	2439205417.21	3516828812.02	32957729974.69	11552876403.34	1972383434.33	526833872.14	3219188951.74	1456571647.84	5696449914.74	18913151818.01	481910795.520001	14560002974.55	824014147.05	371578111.1	953843159.77	297204091903.43	10308803222.66	245101283.07	160673593.44	28460006607.22	782994067.44	549343574.3	1191070508.83	1303428742.1	3888556618.43	5485817455.83999	1523264978.47	2005606716.85	1819154109.74	129117217972.27	1087571974.41	2696132866.45	868967529.97	168377693.2	530431357.71	186728237.71	453737545.27	29851250450.51	1474155798.78	2363978621.27	896322103.080001	350666433.86	2369636027.69	800467297.63	914998691.14	100422139.84	366061758.94	1040824747.36	14507511718.5	11393360.97	417590736.49	328352233.02	10914171	149262609	2916734674	194673109	17625565	2308158818	45684023	4505158124	652457856	385173914	42350307	90401661	27796941	11217666	376916013	233178497	605107568	1295011296	250635747	28851217	138551502	289224707	1734725426	332965831	175489238	276938981	0	318632092	125581361	17011416003	30898360018	8110227843	1259207400	9785645533	0	1739016139	265049224	1136629954	1631434494	2325744301	70271500	1925998606	901262394	292058451	188400976	19390957826	166598887	6716414050	373706254	792652679	7941470733	342891834	2022859628	95392153.78	1059952614	58055765	78548185	0	40151099	102269458	14035844	79806929	1471986355	798836948	9270627	7480402180	1256571489	3314352049	23168835	0	0	456887940	0	25088714	0	0	0	0	0	0	0	0	0
