13463000	16753000	105460000	0	33020000	0	10561000	235963000	27180000	137774000	0	24247000	292326000	13053000	54708000	21707000	347950000	831947000	56878000	135225000	10277000	89908000	46624000	10852000	50798000	4369000	11877000	5341000	228818000	580000	3496970000	654000	89581000	28298000	5951000	2473000	13242000	11600000	3141000	1460000	179318000	2511000	43961000	22365000	537178000	10114000	5961000	75829000	82689000	14069000	0	752000	22852000	180166000	241835000	38369000	0	68405000	2044000	9523000	1103517000	4171000	70992000	132149000	7087000	20912000	841000	0	3057000	0	6220000	0	0	3015000	0	0	0	564000	4968000	9136000	1513000	0	0	0	8486000	0	46504000	857000	5320000	0	0	0	18623000	0	0	10226000	0	0	0	2598000	0	47379000	0	0	8685000	0	637000	62721000	0	0	0	0	0	1479000	0	7643000	6459000	0	0	0	5963000	0	591000	155186000	0	968000	0	0	0	4123000	0	4251000	0	0	0	0	0	768000	21386000	0	0	0	5559000	4147000	0	920000	0	0	3437000	0	0	0	0	0
20916000	0	61898000	33464000	1649000	0	20715000	59255000	575629000	12603000	0	96464000	1171007000	131504000	51556000	75210000	148451000	429693000	59043000	7576000	119674000	3370000	2939000	8630000	37682000	10120000	1551000	25674000	566754000	2030000	54987000	0	8492000	5058000	17702000	26390000	0	4196000	0	651000	4745000	13262000	109807000	67304000	4377000	3857000	2757000	1159000	129023000	41569000	0	63340000	7086000	9622000	91247000	206589000	11692000	11550000	4604000	26592000	219801000	7089000	222804000	42065000	3493000	8942000	781000	2380000	2312000	1171000	2291000	1032000	0	1471000	0	0	3758000	0	3009000	2737000	956000	0	0	0	0	0	3734000	1637000	2354000	0	2198000	0	2399000	0	0	2220000	0	0	636000	0	1346000	1638000	0	3113000	70579000	11208000	1684000	0	0	0	0	793000	0	0	0	0	2511000	0	0	0	0	0	0	0	4553000	3003000	0	760000	868000	1496000	615000	0	0	0	0	0	0	0	0	0	0	0	0	1005000	0	0	0	0	0	0	0	0	0	0
63512000	152467000	0	14019000	2721000	813000	110832000	103794000	409139000	30634000	5237000	39451000	5271109000	275749000	229629000	98510000	4357251000	950373000	130150000	65939000	21954000	14141000	85147000	51994000	111772000	38965000	8701000	140270000	1121484000	7771000	199217000	7745000	15022000	16787000	34741000	37347000	4436000	35978000	616000	0	21623000	50182000	3283177000	168012000	15154000	15020000	22483000	8753000	122847000	88581000	0	40992000	44362000	22696000	211985000	400136000	26202000	17207000	18025000	80990000	1260113000	68326000	56515000	90609000	7855000	42129000	12709000	142425000	7896000	4834000	13039000	5504000	4765000	7058000	1274000	0	30206000	3132000	8207000	5746000	3315000	4959000	7845000	2783000	3976000	1219000	10212000	4436000	9177000	6172000	18502000	0	11003000	5244000	1328000	6099000	3807000	0	2357000	528000	0	22663000	6414000	9597000	47240000	108725000	5571000	0	1049000	5104000	722000	6344000	0	2295000	3254000	7779000	10040000	4878000	3548000	5783000	3185000	1277000	3309000	0	5923000	10031000	2210000	0	2097000	5258000	3470000	1509000	0	2686000	0	0	3242000	0	0	0	0	590000	5990000	3082000	5191000	0	2676000	1723000	0	0	0	0	0	0
1456000	19300000	8435000	0	0	0	2428000	1708000	7942000	0	0	0	102430000	5123000	13051000	3523000	27560000	22873000	16274000	0	0	0	18256000	0	8985000	10657000	0	1715000	89378000	1796000	18178000	0	0	2078000	13095000	14361000	0	0	0	0	0	3045000	10186000	1285000	0	1516000	0	0	0	1488000	0	0	0	666000	0	4903000	0	615000	4214000	7242000	0	0	48192000	0	0	0	0	0	0	0	0	0	0	0	0	0	872000	0	0	0	0	0	0	0	0	0	18989000	0	4791000	0	0	0	0	0	0	0	0	0	0	0	0	2263000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1230000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
42070000	0	0	0	0	0	0	749000	0	0	0	0	1228000	1963000	0	0	1301000	38714000	0	3030000	0	2552000	0	0	1881000	0	0	0	0	0	74698000	0	0	0	0	0	0	0	0	0	3982000	0	1091000	0	14312000	722000	0	1406000	0	11017000	0	0	42264000	30862000	0	1453000	0	3026000	0	6127000	84825000	0	0	0	9640000	0	0	0	0	0	0	0	0	0	0	0	0	0	4604000	0	0	0	0	0	0	0	0	2472000	0	0	0	0	16929000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11981000	0	750000	0	4894000	0	2022000	0	0	0	0	0	0	1418000	0	0	0	3989000	3641000	0	0	0	0	0	0	0	0	0	0
0	564000	0	0	0	0	0	598000	0	0	0	0	7936000	0	1203000	0	0	14568000	0	0	0	0	0	0	0	0	0	0	635000	0	0	0	0	0	0	0	0	1673000	0	0	0	0	3344000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
18711000	64372000	160148000	24467000	0	0	0	87064000	58024000	65140000	0	24402000	793778000	111742000	306926000	49771000	301473000	376231000	21737000	39052000	22634000	2297000	12562000	7983000	52492000	52925000	2909000	22226000	379123000	2251000	450847000	0	2323000	0	17394000	529000	19491000	43035000	0	0	5614000	6468000	357524000	74868000	3626000	5923000	37952000	2214000	48862000	89872000	16933000	25543000	1230000	11145000	146762000	112038000	12822000	6413000	11695000	13904000	1122477000	76261000	84674000	33929000	0	205205000	1897000	1203000	18512000	4634000	0	1657000	0	1120000	0	0	25761000	0	2711000	0	3477000	5037000	953000	1470000	10063000	0	703000	1464000	1530000	615000	3319000	0	0	0	0	8158000	9645000	0	37353000	734000	0	33964000	0	2371000	46697000	52330000	8299000	0	0	0	0	1501000	867000	1565000	0	2361000	0	829000	0	0	0	0	858000	0	7324000	32525000	0	0	0	0	40870000	22453000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
213475000	25821000	211168000	0	1071000	12023000	124223000	0	55871000	287776000	0	9959000	585602000	28774000	90584000	21556000	322497000	1755528000	19432000	29468000	7661000	18527000	182201000	30429000	23317000	1977000	758000	31689000	366218000	545000	2012213000	10747000	82541000	3242000	17648000	10247000	4428000	85026000	2554000	2192000	26469000	19913000	155564000	187295000	58428000	20188000	29613000	23223000	45157000	20353000	0	12861000	13347000	19960000	292208000	71915000	2055000	22043000	11772000	20479000	17117826000	86469000	42969000	60088000	6020000	47766000	3730000	2601000	35112000	8224000	81864000	15410000	723000	6263000	0	0	3297000	553000	1168000	525000	7412000	1447000	5418000	1835000	33078000	851000	522000	0	2661000	4367000	1523000	12331000	1922000	0	0	54319000	14631000	1619000	5337000	18997000	0	28336000	1877000	2007000	3033000	27607000	6427000	1527000	0	1338000	0	7019000	0	9263000	10131000	42802000	5612000	2321000	0	0	708000	1034000	2738000	934000	11347000	875000	507000	0	752000	2576000	3756000	2401000	0	0	0	0	0	0	0	0	0	0	0	0	0	1434000	0	845000	0	0	0	8346000	6144000	0
106386000	529680000	239076000	19235000	2952000	997000	161038000	117794000	0	42194000	2051000	62961000	1461580000	181649000	235273000	101004000	830930000	880993000	66598000	176603000	49888000	20522000	20503000	22016000	71110000	11424000	3728000	86400000	632667000	2261000	379027000	0	19695000	13933000	24384000	26105000	1694000	85926000	608000	584000	14254000	27010000	287283000	116955000	22668000	6366000	30511000	11925000	89495000	128498000	1273000	52384000	30470000	47214000	97008000	267331000	17326000	33779000	4187000	124740000	786903000	54249000	158213000	109964000	4901000	45307000	3642000	12556000	24249000	4537000	11836000	4362000	0	4929000	0	0	10411000	886000	11933000	990000	2576000	1706000	4225000	652000	1482000	0	15479000	4232000	1914000	2361000	7933000	1344000	31379000	0	0	3878000	2373000	0	3586000	726000	0	13403000	2380000	4801000	56327000	31668000	6032000	1131000	1079000	657000	0	5444000	0	543000	1392000	3657000	8293000	1434000	849000	0	606000	0	3951000	0	1932000	4835000	2095000	986000	855000	5786000	5150000	3704000	2901000	575000	621000	0	3444000	0	0	0	0	0	1313000	2676000	0	0	0	4317000	0	3829000	0	0	0	0
85962000	12369000	39143000	0	18937000	0	0	52910000	28780000	0	3138000	0	139657000	20204000	20418000	17773000	147316000	113409000	590000	1093768000	0	53362000	0	3351000	24416000	36043000	0	0	128045000	6327000	971286000	0	0	36165000	15817000	37443000	0	14112000	20779000	0	150391000	35904000	65661000	6866000	14620000	48257000	546000	24266000	0	615000	0	0	0	232218000	0	28543000	0	0	2352000	4144000	0	4795000	15858000	0	14723000	0	0	1908000	0	0	0	0	0	7981000	0	37534000	14457000	10947000	0	5483000	0	19210000	0	0	1440000	0	25917000	4173000	1543000	757000	0	0	0	0	0	0	0	0	0	0	0	3854000	6106000	0	0	0	504000	1246000	0	0	4231000	512000	0	938000	0	0	4968000	4673000	0	0	579000	1929000	0	2959000	0	39090000	5732000	19071000	1942000	100276000	0	29635000	6362000	7754000	0	0	0	0	0	0	0	0	0	0	0	0	1153000	1487000	0	0	0	0	0	0
