0	405774308	32593441	25893123418	909478387	2524710556	534873953	19421855033	8894455178	24353081	1011653372	402663068	8117826137	23962227	220490581	16489848824	52918668	96424370	1000281341	4652885	3944223387	135991037	249464149	1407651598	6928839	152054372	3876256	7135231	357210734	2157943633	59519893	47351092	21856937	202530856	2170373	696803751	1618797	153648314	259915505	1368919679	34326546	1278774751	438371134	55611792	302562475	30051940	552313857	104582566	28424780	510729234	36230717	562695998	308752371	1453801103	540913113	607098758	23426276	82085122	163910185	177377696	22308480	4676517	1862847	254470963	16472699	2595031	11868752	1715083929	6332364	9328952	1744075	23168382	45667068	40636036	2174997	1178	58935065	186796049	3181286	135124775	38271048	7234876	10097519	307678847	30916044	38461843	383190888	65101457	77034672	40430490	134991799	135017803	199328534	7668272	2348077	14417123	19785659	6140378	2502798	30879234	21390193	7145974	10799654	18589244	57595340	31621078	46712635	49109139	1610624	486962768	74673180	7069898	30871678	10467471	38816300	221762079	354853238	9153435	65644715	7430137	19308194	16242550	2940413	60433799	28272223	309321	17433864	7476579	36975979	166051	1870471	3396081	2086639	129111	31585	8819974	268417	39390868	2806095	1423897	18120	0	1560188	7390428	11883896	8759489	504518	53623	21066	0	30853808	10790748	596661	4036615	18325	21863	0	97907	0	17969400	1465532	3624522	6393	422137	823151	22840135	1295454	0	12425973	0	0	0	8918511	402018	6841167	2727930	7224194	11490	319841	11766390	163202	25428	160788	6415380	139132	1296	301828	111966	1498033	7649935	0	0	0
340273287	0	8823445	6315633762	443016805	1035332379	206623573	2730402197	1142797364	8763929	34590274384	108655725	2068822070	6493393	727964401	950145967	147019583	251918520	72280244	16722282	18319509581	401369321	1201227067	413557410	5741353	68033948	5139083	31128927	1457156023	473262468	86821879	70932641	8354728	111033829	604107	176406468	1409103	39127573	758058915	144478770	8383415	12949731975	3148586085	94357857	132237726	17163843	230961335	340549276	17738308	57159932	11963164	559114111	2017152206	508555688	1048673564	160777507	16442294	169865911	173001903	24316911	6642570	4179514	365149460	31177051	2167697	17115759	3855231	765587	6259474	3644629	25559162	200011089	23899538	10545730	4774865	28118	14060693	7236418	467019	26932516	224401829	9763887	9505695	31459398	4142758	21544755	229248631	49122791	19639268	19310084	47040577	89284734	129924853	4446130	180502410	12624528	31106822	2686203	29687919	14020383	87328347	9660488	524771479	6395221	82824731	3575365	50080656	21917927	531805	1823363440	49976017	4028549	27942123	21398774	71027656	28149451	9457664	2412716	7226710	14404991	800538	18454777	151668	4772127	2772039	3926246	1130676	4454271	13105326	82220	2665672	1453864	79886	2168627	65253	2897539	59615	8606659	67142	778777	8560	0	61077	2152667	45121129	10505760	44382	986868	0	0	9056825	4152709	1208136	408430	0	268018	0	23759	0	36033437	202846	82782	108101	7132906	484270	10066626	25950414	3313	1123003	88027	0	174218	803851	1082508	5220596	610793	374019	631366	9561	16027442	223408	0	1427413	0	0	0	0	2687	2093217	663341	0	200763	0
48940747	2139441	0	721190666	25400487	151744850	90138151	206823214	173753444	13120694	6946032	9994448	135639185	1222371	600865	194559135	948010	637263	30208953	974244	2687732439	183785	5907591	41110798	5866062	46867811	632649	474	106046132	55708744	143849467	22092	86435893	129445	11863	12024983	34974	26864780	4451531	1119719	724935	247311490	17929211	33464	44579006	770616	29280336	992021	193160921	3471713	34570	29905724	3022857	81685945	5461413	3120555	0	30897514	1340638	263143349	1246633	7154584	3562	30928	31442669	4107	139137	26604813	3139757	3966648	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17678	0	0	0	139188	2653056	0	0	0	0	0	0	0	20702759	0	0	512	556700	0	0	76404	0	0	0	1834330	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	320942	26216	0	0	0	0	0	1991311	0	0	1025027	0	0	0	1036135	0	334626	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
26610260613	2755468488	245701036	0	6481547044	13758054483	3354693969	45116539454	27823293012	80933324	1951454288	1552697191	35039845444	54959465	1469519452	29837346196	320353918	446473493	3586157561	54256467	24375474535	638583121	2098139450	20039597331	75860208	1807237992	12282648	50515607	2947359153	20571596521	455170139	234125413	136781305	852638631	14877742	3800684125	11557548	2246121728	1873533325	1361669000	204515499	9718751033	3334178635	92775582	2111437347	216820097	3285037462	609273781	157046348	4555508203	51819535	2183952378	1902290734	8473465829	1920682197	3730865856	171821621	589281006	822846070	630418781	49892977	27228974	23022545	673842542	62614529	8374898	209582727	1821461421	22074693	41764866	17064000	93005000	477008000	111590000	20204000	1488000	80126000	63499000	1179000	2977491000	122944000	8794000	30825000	674072000	84973000	114424000	3991318000	171791000	162810000	262179000	228008000	736213183	398035261	20644000	34271000	31713000	67229000	21143000	10616000	161560176	119161000	9381000	47353000	104132000	736072000	12863000	99800000	43331000	3449000	10361974936	276439000	20888000	77590000	73838000	98701000	4146122976	2805082000	42569000	71736000	46346000	42964000	27067000	49257000	87208000	22271000	1611000	21902000	12026000	33439000	818000	6163000	11926000	13189000	2766000	112000	191613008	2743000	35762000	27308000	13046000	280000	0	2139000	12438000	35482000	83442000	10698000	216000	33000	0	21786000	15809000	938000	4828000	452000	2665000	0	3180000	26000	15229000	3910000	902000	202000	807000	2484000	27077000	7346000	0	21239000	0	0	0	14703000	794000	16756000	4410000	4492000	208000	6000	28876000	11420000	13000	2117000	4229000	31000	5000	793000	745000	5222000	56431000	0	0	0
716818643	92459448	11662450	7466762921	0	659616394	684809338	1965671628	3556641417	5247204	188901537	171471042	1724541627	3793348	67810871	1484212816	37315569	32699050	217444831	1933013	1628055062	67104391	144802408	347444677	5299700	78124434	3708834	29772123	190370647	607622971	28478569	26522656	4255789	85518809	127127252	216721539	246903324	61433527	45268915	54297880	136286857	1177894133	231258407	11136635	71917426	14419628	1712133211	27943057	7640020	656074311	3344493	196426510	113210168	3501995720	151121988	88748882	8179574	30323883	29838353	40053148	3063873	3893140	25089957	31493571	4137396	267900	1682529	78943541	2588152	3253186	848367	35858735	16044744	18954064	163424481	71271	3608876	1214626	102422	63147223	23232076	3270952	20595082	40936719	5431967	12539894	166193995	15152982	14351301	34744027	25128967	27521648	33375831	702682	6165261	10996154	3077613	708567	1679295	22887524	8287610	5349901	5419739	9983900	10037192	652268	10579265	2413970	928779	227743625	18620725	3438267	17274837	3963867	19745595	70940394	15421258	9959287	8631985	1970552	3951859	1165673	2134358	2531052	376827	240618	452142	37468500	1368319	900396	690217	1019947	7007540	96308	439612	1020078	980350	3811032	3875250	13674537	28188	17412	107711	491072	1785315	7869644	1281849	87343	18103	0	675800	3122877	2994301	195682	428211	707526	0	124460	233937	3900392	307917	28479	6328	64297	935724	1082914	945763	36297365	2285804	0	0	0	2345674	569179	1628182	642621	199843	40148	42058	3386681	565930	0	35285	2342757	2162	4700	101178	167854	1054002	4282954	0	0	0
1698353601	399796590	76478965	9445548295	515878481	0	229301678	10949604861	4396563116	19129687	215703268	242278780	5851615817	28005272	51772848	1771267224	24040663	34360664	3863144640	10393957	2926482893	115632929	125558036	495084458	10984889	154022413	1736210	1484532	374222110	832762211	138240206	76676792	50139663	196255634	2319676	435831714	1208913	64561905	123648966	106161831	26368995	733682139	280541124	12718975	546005164	37686410	282906253	75511387	28685137	146328685	20251341	335254379	181367166	600308202	145692928	311640688	12634048	188335115	63559682	267578578	27929330	10946958	1243367	156055518	24522199	185787	9978637	166318498	3389507	7101654	181375	7730950	11802962	51032386	21549375	0	48117053	11399385	403223	52242219	284664839	1003184	41882484	650380588	16864519	7768000	389275470	22908974	13118538	24856770	79291047	71270272	556006829	1394444	5765	23527604	6324877	2314605	1503546	11378872	90076435	223777	12819238	18097514	18232139	1348729	4594289	35909222	0	526833846	44766835	3450183	5120461	512195	7187738	75289608	145566677	1245418	115916469	3399565	6550239	8138318	1694221	33443303	5906471	716645	19407221	149215408	12569124	7643	1216194	3438975	0	0	16214	244967892	97563	51842743	10495721	19390379	0	0	654441	209571	8631559	34432112	129751	5753483	31358	0	336580	7178499	135181	631676	3848	6479	0	497155	10346	2300924	1366516	14235271	0	405858	17633	10047262	135059	0	3120448	0	0	0	1815674	0	3321762	1731474	611706	0	0	15564421	620103	8581	0	10400093	6675855	448687	78609	25615	979886	419336539	0	0	0
577035487	210792782	13694274	3619316370	795003570	622178291	0	1451956203	2384644037	2730855	119363724	147096007	892592870	815949	74545476	1160956911	24546856	21325195	185491759	120902	1058068096	23481712	206181649	312799948	4595806	109622040	1686653	5513631	174399168	424596999	41174431	14934387	4414128	88932596	1874960	141527947	1396771	81304809	88002633	164563305	28015652	372994414	157148916	5405739	51634305	25910155	746007686	25650883	4588049	151702207	595238	100762943	105721457	3224343537	101525495	89903770	13122112	40868068	8794421	25093788	6821421	8497868	2351489	21867908	3623808	171598	258193	71738803	2351229	555955	1339556	7523555	18179611	5537331	66004690	521	7226631	1372077	73806	62172311	3124484	296398	3326590	47316047	4974168	3267075	117626797	5542196	11380676	28402429	21204948	20743865	35401163	121032	1346536	5303491	379462	1522131	4353793	14322371	1577929	609147	82095	1327838	6192220	258748	4139940	4875980	270742	1112576952	20046757	840729	9920443	3679593	6229726	42867775	8353265	12428489	1332461	599653	516614	40887	118844	7266456	2897376	61067	459529	600305	293829	0	73449	121240	1623303	8846	0	269894	125978	477248	2223367	11329173	0	0	100504	245890	1155759	4700617	5202	115061	0	0	237094	171347	11937	173379	0	2341	95015	0	0	1228111	873419	0	737	3865	84728	893503	1927766	0	0	0	0	0	0	1344	429871	70289	562316	9988	0	1047130	0	0	392523	1023746	0	0	0	0	8832	0	0	0	0
17794915480	1553962957	220705600	44474599130	1829682091	13071253018	791176847	0	17445677749	22681937	1064225302	825711224	24196366417	950122760	456418432	8737587196	186366488	142856501	3004881475	22136021	12579007602	437501146	917272380	1994148012	14466997	748452829	8319333	14916111	2151119303	7244401076	219336959	92903262	219403357	1187007273	4285185	1517390497	5733646	276654715	641661550	764465398	59483478	5281286768	1296265066	35793670	898036473	90154077	882255535	411618944	36558087	684753367	1232519444	1070475611	1581615986	2195276547	574123551	1139064860	60281798	272329554	454430183	231779740	891252372	9405195	15609068	1230406171	62357446	3817414	907442472	675189013	13981610	10940588	23564081	64781091	191144570	138794206	38155531	69137	632271603	110481247	56929570	478694988	62392816	62251526	33070138	2163201070	35317053	54313971	884320099	115687866	106959572	110554381	296843696	355915804	1575402259	139506532	8340166	42695892	192479102	87090156	15369729	103299995	73775134	6073682	8248987	209705088	261539485	21188639	51056008	429907154	2938128	1446634317	198714611	13378731	20488646	108306270	81428391	754610529	956055378	12452912	176366302	42339056	20089367	115983788	78646064	424166690	269748699	6006520	399635528	10768337	148306668	387267	8273891	13678687	19310190	4277866	1232226	23351493	9021894	129203956	25490846	8046550	2132	31458	4828079	6112454	164444027	72495664	14473117	5486914	350655	0	25244861	146664201	3704869	54208332	173105	397760	0	8414138	22749	21425088	4025421	7368232	207947	3026792	1886088	112316597	7676364	0	400189512	0	0	0	273219645	135427	8007889	14242423	80696932	240828	0	14615953	3744332	26149292	662415	4347851	5864	197103	21004690	1204648	5007644	405114027	0	0	0
9372488508	852489641	134075455	23684709912	2352848447	6415597905	1512781428	15839860360	0	30765143	2182238877	7916747755	9442896560	63091198	1599449273	9914363871	507515914	206969937	1805298652	55904717	17244949453	786624378	2177711026	1243421834	9738890	473274594	70515167	380709474	3329926186	3364802136	147752766	314750948	39906632	386502855	17967272	1073085294	5526198	257846863	550353631	703282631	137579075	4594317841	1420862580	152170838	448181697	286616650	1941458339	405316579	49296286	573107825	20253284	2957665249	1720316802	3718790947	780013241	1059365989	281082069	100850101	2159984514	245706047	17773857	10751762	48484345	88255512	23454541	18740852	6905639	1265521312	99360068	16550050	11631696	63131900	55568883	226861821	33152996	899864	38457722	23418769	6856691	205550676	47523094	38403758	24512361	86330026	51176703	259983417	840886738	107892216	291873364	260688885	140148448	460690923	258526274	7644223	13851428	25126420	79181450	18031230	6253257	301904731	55490008	13955942	9553420	175722526	76352125	2285501	106159551	22845205	5403746	567613353	66602370	96915836	118120252	11977700	104648383	265396503	1585798031	95730743	50833643	5420098	25955090	18881405	27531520	38496640	15945377	18567828	44373097	137687915	12819817	12680754	31314881	12665602	7733404	646237	8979494	13399260	32651084	3609503	43070099	9333572	2028931	310350	1580605	11078106	14998245	55176172	12151866	575718	4711827	0	5808413	8784452	24345683	885282	14111213	177363	0	9679446	25316235	30165927	1424609	3474924	431024	2063899	3947959	15334095	1749120	4503069	7732773	0	11484338	0	7313770	1991449	22212833	16961358	3054239	1643853	180680	60804098	5686224	3427	1048647	3021078	1199604	11576577	1652179	2920098	33001628	24987779	0	0	0
6405983	206905	4389454	51619300	3132483	4405893	11243821	20414854	16199474	0	679999	1399947	26409306	506456	138543	19482224	86201	1446	2500535	4722	882934701	4096895	816764	8557233	225740	456828	2126269	0	31125188	12551728	2100951	108483	16915204	542661	1501	1877431	0	320031	240400	0	80700	42650282	1705122	4568	79067863	4125	1492705	2007156	78167	460203	622	27690919	4155215	8266836	497570	128148	0	736847	0	2511960	258476	39257605	0	462239	74881424	19741	859	773987	865305	93419307	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	451916	0	69792	0	0	154214	0	0	0	0	0	0	717844	17301471	0	0	150787	0	0	0	0	0	0	0	3021228	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	564994	4401259	0	0	0	0	0	0	0	0	42127252	0	0	0	800010	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
